Team,Pos,Penalty,Games,Name,Age,Tgt,Rec,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Fumbles,PPG,ol,rb,wr,qb,te
det,RB,1.0,8,Jason Cabinda,27.0,0.5,0.125,0.5,0.0,0.125,0.625,0.0,0.0,0.2375,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,0.8888888888888888,9,Quintez Cephus,25.0,2.7777777777777777,1.8888888888888888,0.0,0.0,0.0,24.333333333333332,0.2222222222222222,0.0,5.655555555555555,8.8,8.0,9.045000000000002,16.0,1.8
det,RB,0.8,7,Jermar Jefferson,23.0,0.7142857142857143,0.5714285714285714,10.571428571428571,0.2857142857142857,2.142857142857143,3.2857142857142856,0.0,0.0,3.671428571428571,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,1.0,16,Marvin Jones,33.0,5.0625,2.875,0.0,0.0,0.0,33.0625,0.1875,0.0,7.30625,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,1.0,7,Tom Kennedy,27.0,2.142857142857143,1.1428571428571428,0.0,0.0,0.0,20.142857142857142,0.0,0.0,3.157142857142857,8.8,8.0,9.045000000000002,16.0,1.8
det,TE,1.0,14,James Mitchell,24.0,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,8.071428571428571,0.07142857142857142,0.0,2.0214285714285714,8.8,8.0,9.045000000000002,16.0,1.8
det,RB,1.0,16,David Montgomery,26.0,2.5,2.125,50.0625,0.3125,12.5625,19.75,0.0625,0.125,11.106250000000001,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,1.0,17,Kalif Raymond,29.0,3.764705882352941,2.764705882352941,2.1176470588235294,0.0,0.4117647058823529,36.23529411764706,0.0,0.17647058823529413,6.247058823529412,8.8,8.0,9.045000000000002,16.0,1.8
det,RB,1.0,9,Craig Reynolds,27.0,1.1111111111111112,1.0,11.333333333333334,0.0,2.5555555555555554,12.88888888888889,0.0,0.0,3.4222222222222225,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,1.0,14,Josh Reynolds,28.0,4.214285714285714,2.7142857142857144,0.0,0.0,0.0,34.214285714285715,0.21428571428571427,0.0,7.421428571428572,8.8,8.0,9.045000000000002,16.0,1.8
det,WR,1.0,16,Amon-Ra St. Brown,24.0,9.125,6.625,5.9375,0.0,0.5625,72.5625,0.375,0.0,16.725,8.8,8.0,9.045000000000002,16.0,1.8
det,RB,1.0,14,D\'Andre Swift,24.0,5.0,3.4285714285714284,38.714285714285715,0.35714285714285715,7.071428571428571,27.785714285714285,0.21428571428571427,0.07142857142857142,13.364285714285716,8.8,8.0,9.045000000000002,16.0,1.8
